trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.005, 'e': 0.7557837414557255}",30,19,-67.93012342204555,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.005, 'e': 0.7520142543193826}",35,13,-125.76843847509926,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 3}",1
58,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,8,-68.77995046799037,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.005, 'e': 0.7445315874659094}",20,0,-72.4795755610056,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.005, 'e': 0.7408182206817179}",20,0,-124.51731590012028,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
61,False,"{'a': 0.005, 'e': 0.7371233743916278}",25,0,-133.74411527517967,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
62,False,"{'a': 0.005, 'e': 0.7334469562242892}",25,0,-3.3107827732370367,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.005, 'e': 0.7297888742690568}",35,3,-83.56865508308711,"{0: 25, 1: 1, 2: 3, 3: 2, 4: 1}",1
64,False,"{'a': 0.005, 'e': 0.7261490370736909}",30,0,-136.81946620652323,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.005, 'e': 0.7225273536420722}",25,0,-53.407680134572246,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.005, 'e': 0.7189237334319262}",25,11,-110.25423676345605,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 2}",1
67,False,"{'a': 0.005, 'e': 0.7153380863525599}",20,0,-78.46449520484413,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.7117703227626097}",25,0,-92.04589883017391,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.005, 'e': 0.7082203534678}",20,0,-70.44721018556751,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.7046880897187134}",20,0,-77.36424769790995,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.7011734432085724}",20,0,-58.6887412422423,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.005, 'e': 0.697676326071031}",20,16,7.808003499517433,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.005, 'e': 0.6941966508779789}",30,0,-115.93372380672896,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.005, 'e': 0.6907343306373547}",25,0,-51.366610943082634,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.005, 'e': 0.6872892787909722}",20,0,-36.39173084326587,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.005, 'e': 0.6838614092123558}",25,0,-43.092926219818494,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.005, 'e': 0.6804506362045877}",20,0,-17.429626186208914,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.005, 'e': 0.6770568744981647}",20,0,-81.60366448069928,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.6736800392488677}",25,0,-107.57831727719478,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.005, 'e': 0.6703200460356393}",20,8,-34.3374350979849,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.005, 'e': 0.6669768108584744}",25,0,-35.29227525065581,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.005, 'e': 0.6636502501363194}",25,0,-57.025085412692285,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.005, 'e': 0.6603402807049829}",25,0,-172.7854634160789,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
84,False,"{'a': 0.005, 'e': 0.6570468198150567}",20,0,-139.69867214139651,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
85,False,"{'a': 0.005, 'e': 0.6537697851298473}",20,8,-11.536592460988105,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.005, 'e': 0.6505090947233165}",20,0,-17.004969733686124,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,19,-0.45284654127175283,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.005, 'e': 0.6440364210831414}",20,3,13.684580318093058,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.005, 'e': 0.6408242760323187}",30,0,-81.98372611938613,"{0: 22, 1: 2, 2: 2, 3: 4, 4: 0}",0
90,False,"{'a': 0.005, 'e': 0.6376281516217733}",25,0,-47.09657109338525,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
91,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,14,-31.306900815897542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.005, 'e': 0.631283645506926}",25,0,-69.46750708182803,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,0,-162.69062176411526,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
94,False,"{'a': 0.005, 'e': 0.6250022682827008}",25,0,-47.81911927855209,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.005, 'e': 0.62188505646502}",25,0,-131.420610044096,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
96,False,"{'a': 0.005, 'e': 0.6187833918061408}",20,9,-36.64207952297959,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.005, 'e': 0.6156971967642851}",20,15,3.310187266414495,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.005, 'e': 0.6126263941844161}",25,0,-100.86653390280377,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.005, 'e': 0.6095709072963093}",25,0,-84.00215945426304,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
100,False,"{'a': 0.005, 'e': 0.6065306597126334}",20,0,-126.42224267053885,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
101,False,"{'a': 0.005, 'e': 0.6035055754270405}",20,10,-2.87962737169115,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.005, 'e': 0.6004955788122659}",25,15,-37.71139483517884,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.005, 'e': 0.5975005946182375}",25,4,-26.213554890464483,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.005, 'e': 0.5945205479701944}",25,0,-52.88044008684828,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.005, 'e': 0.5915553643668151}",20,12,-44.05789379917683,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.005, 'e': 0.5886049696783552}",30,0,-74.20268888324787,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
107,False,"{'a': 0.005, 'e': 0.5856692901447937}",30,0,-19.895604288538507,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
